SITE_GAW_ID,DATE,DATE,DATE,TIME,TIME,TIME,END_YEAR,END_MONTH,END_DAY,END_HOUR,END_MIN,END_SEC,CO2_VALUE,CO2_VALUE_UNC,CO2_NVALUE,LAT,LONG,ALT,ELEVATION,INTAKE,QC_flag
CVO,2020,1,8,9,0,0,-999,-9,-9,-9,-9,-9,414.01,0.025,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,10,0,0,-999,-9,-9,-9,-9,-9,413.99,0.017,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,11,0,0,-999,-9,-9,-9,-9,-9,414.12,0.075,53,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,12,0,0,-999,-9,-9,-9,-9,-9,-999.999,-999.999,-9999,16.864025,-24.867519,10,17,-999.999,3
CVO,2020,1,8,13,0,0,-999,-9,-9,-9,-9,-9,414.82,0.095,25,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,14,0,0,-999,-9,-9,-9,-9,-9,414.79,0.043,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,15,0,0,-999,-9,-9,-9,-9,-9,414.64,0.108,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,16,0,0,-999,-9,-9,-9,-9,-9,414.39,0.05,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,17,0,0,-999,-9,-9,-9,-9,-9,414.33,0.025,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,18,0,0,-999,-9,-9,-9,-9,-9,414.28,0.031,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,19,0,0,-999,-9,-9,-9,-9,-9,414.17,0.027,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,20,0,0,-999,-9,-9,-9,-9,-9,414.1,0.035,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,21,0,0,-999,-9,-9,-9,-9,-9,414.05,0.025,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,22,0,0,-999,-9,-9,-9,-9,-9,414.06,0.029,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,8,23,0,0,-999,-9,-9,-9,-9,-9,414.08,0.019,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,9,0,0,0,-999,-9,-9,-9,-9,-9,413.97,0.047,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,9,1,0,0,-999,-9,-9,-9,-9,-9,414.22,0.049,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,9,2,0,0,-999,-9,-9,-9,-9,-9,414.15,0.054,60,16.864025,-24.867519,10,17,-999.999,0
