SITE_GAW_ID,START_YEAR,START_MONTH,START_DAY,START_HOUR,START_MIN,START_SEC,END_YEAR,END_MONTH,END_DAY,END_HOUR,END_MIN,END_SEC,CO2_Value,CO2_VALUE_UNC,CO2_NVALUE,LAT,LONG,ALT,ELEVATION,INTAKE,QC_Flag
CVO,2016,01,07,17,0,0,-999,-9,-9,-9,-9,-9,402.78,0.099,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,18,0,0,-999,-9,-9,-9,-9,-9,402.95,0.064,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,19,0,0,-999,-9,-9,-9,-9,-9,402.94,0.045,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,20,0,0,-999,-9,-9,-9,-9,-9,402.96,0.047,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,21,0,0,-999,-9,-9,-9,-9,-9,403.12,0.069,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,22,0,0,-999,-9,-9,-9,-9,-9,403.30,0.051,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,07,23,0,0,-999,-9,-9,-9,-9,-9,403.40,0.042,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,00,0,0,-999,-9,-9,-9,-9,-9,403.48,0.021,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,01,0,0,-999,-9,-9,-9,-9,-9,403.50,0.033,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,02,0,0,-999,-9,-9,-9,-9,-9,403.58,0.024,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,03,0,0,-999,-9,-9,-9,-9,-9,403.58,0.022,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,04,0,0,-999,-9,-9,-9,-9,-9,403.60,0.019,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,05,0,0,-999,-9,-9,-9,-9,-9,403.61,0.015,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,06,0,0,-999,-9,-9,-9,-9,-9,403.59,0.012,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,07,0,0,-999,-9,-9,-9,-9,-9,403.57,0.036,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,08,0,0,-999,-9,-9,-9,-9,-9,403.50,0.017,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,09,0,0,-999,-9,-9,-9,-9,-9,403.43,0.028,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,10,0,0,-999,-9,-9,-9,-9,-9,403.33,0.049,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,11,0,0,-999,-9,-9,-9,-9,-9,403.30,0.044,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,12,0,0,-999,-9,-9,-9,-9,-9,403.24,0.059,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,13,0,0,-999,-9,-9,-9,-9,-9,403.22,0.056,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,14,0,0,-999,-9,-9,-9,-9,-9,403.23,0.057,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,15,0,0,-999,-9,-9,-9,-9,-9,403.16,0.080,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,16,0,0,-999,-9,-9,-9,-9,-9,403.04,0.081,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,17,0,0,-999,-9,-9,-9,-9,-9,403.11,0.068,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,18,0,0,-999,-9,-9,-9,-9,-9,403.18,0.056,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,19,0,0,-999,-9,-9,-9,-9,-9,403.24,0.049,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,20,0,0,-999,-9,-9,-9,-9,-9,403.36,0.043,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,21,0,0,-999,-9,-9,-9,-9,-9,403.43,0.031,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,22,0,0,-999,-9,-9,-9,-9,-9,403.46,0.031,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,08,23,0,0,-999,-9,-9,-9,-9,-9,403.52,0.032,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,09,00,0,0,-999,-9,-9,-9,-9,-9,403.53,0.024,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,09,01,0,0,-999,-9,-9,-9,-9,-9,403.55,0.026,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,09,02,0,0,-999,-9,-9,-9,-9,-9,403.55,0.022,60,16.864025,-24.867519,10,17,-999.999,0
